"RelativePath","Size","SHA256","FullPathToDelete"
"config\tools\system\memory_retrieve.yaml","423","37AAB88F3BE3E19B565DB7EF64DA3863E5E514A79ACA388CAEF9543E897779CF","D:\Jianguoyun\Agent os\config\tools\system\memory_retrieve.yaml"
"config\tools\system\task_evaluate.yaml","383","3C70D6F2EDDFAB4CE46CB87D26C03141E0F3F5D21F3A513DAA4703F97F382B45","D:\Jianguoyun\Agent os\config\tools\system\task_evaluate.yaml"
"config\tools\system\task_submit.yaml","374","C0B7AE074D64DF73522DB34B384D9DB157B363D5FFFF1A649C9223DDB0090C3B","D:\Jianguoyun\Agent os\config\tools\system\task_submit.yaml"
"config\triggers\condition_triggers.yaml","4045","593CF212E3934B4011228181C50A4EC16F24E2A8FF3D4DEE2C626436D1F4AEE0","D:\Jianguoyun\Agent os\config\triggers\condition_triggers.yaml"
"config\triggers\event_triggers.yaml","2434","644E2D23D7AA1B1A9F001A8CB246CA3F55E405BEA45AB888A604DC53053B0549","D:\Jianguoyun\Agent os\config\triggers\event_triggers.yaml"
"config\triggers\time_triggers.yaml","2955","FDF549C8928D7F868F274A11F6C1603BD8F2FD5649CE21A580EB9AC187889F2F","D:\Jianguoyun\Agent os\config\triggers\time_triggers.yaml"
"config\ui\default.yaml","813","A8998D040774EC2815F485C35C8BF6B99FF3039E30B05A99A0D0A8D7C67C3408","D:\Jianguoyun\Agent os\config\ui\default.yaml"
"config\ui\vscode.yaml","1147","E1DDFCFDE6E22102D6661401051FA75336A264F64C3810048DAEDC6E12F0ADDA","D:\Jianguoyun\Agent os\config\ui\vscode.yaml"
".env.example","4559","1E85E93F7DA55EFABFDDEC192BF79DC73F7EF68AEC228385F6516EA1DAF84838","D:\Jianguoyun\Agent os\.env.example"
"CLAUDE.md","2168","6E46D826A333569D0929BFA72892C0FDF7EBC447DF46F5B3E47EBEB80271FFED","D:\Jianguoyun\Agent os\CLAUDE.md"
"frontend\tsconfig.json","126","AD28D132EE48D6E23917CF5827CACE785D0FC01A44CA68B0DDA51CC8C3FD3F52","D:\Jianguoyun\Agent os\frontend\tsconfig.json"
"frontend\tsconfig.node.json","679","A6D49D645590CAC21C235A0548605D867321B2E1750E99176D2153D702DFA842","D:\Jianguoyun\Agent os\frontend\tsconfig.node.json"
"frontend\postcss.config.js","97","3BAE3B38A671927BD3E5C1DBA32C1CAC708D1D9D4B12FDBCCC4B6B4184611273","D:\Jianguoyun\Agent os\frontend\postcss.config.js"
"frontend\components.json","435","A4F2A5D87ECF4CA3079FB9E9CE0454168C71A557A3659992B4CE88B22498F6AC","D:\Jianguoyun\Agent os\frontend\components.json"
"frontend\playwright.config.ts","2129","C46E141BC6A167BF28302EDD8F03C91CDA00580EBED830E1CBCC78C34DEAEC3E","D:\Jianguoyun\Agent os\frontend\playwright.config.ts"
"frontend\.prettierrc","140","D2DE20978890C251ACD59A208D00165695576432992E9626A6308927BA4DA57F","D:\Jianguoyun\Agent os\frontend\.prettierrc"
"frontend\.prettierignore","73","0B55767A569DACDBCA08778DA87FE33AE90FA258F1D1CA3F9A029919F88D5B95","D:\Jianguoyun\Agent os\frontend\.prettierignore"
